Posting_Link,Price,Year,Contact,Class,Category,Make,Length,Propulsion Type,Hull Material,Fuel,Location
http://www.boattrader.com//listing/1992-cruise-ship-1076-passenger-stock-no-s2115-100901605/,"$45,000,000",1992,15166475129,Power,"Commercial Boats, Cruise Ship","Cruise Ship, 1076 Passenger -",537',Other,Steel,Diesel,Dania
http://www.boattrader.com//listing/2016-yamaha-outboards-f300xca-103104562/,"$16,995",2016,(844) 324-6380,Power,Other,Yamaha Outboards,300',Other,Fiberglass,,"Huntsville, AL"
http://www.boattrader.com//listing/2005-chaparral-260-signature-102991522/,"$44,900",2005,(888) 866-1530,Power,Cruisers,Chaparral,260',Other,Fiberglass,Gas,"Osage Beach, MO"
http://www.boattrader.com//listing/1947-cooks-welton-caledonia-tall-ship-102881606/,"$1,499,000",1947,(800) 633-7172,Sails,Schooner,Cooks & Welton,245',Single Inboard,Fiberglass,Diesel,"Cleveland, OH"
http://www.boattrader.com//listing/2007-bentley-pontoons-240-243-cruise-103164643/,"$14,995",2007,(877) 564-9731,Power,Pontoon Boats,Bentley Pontoons,240',Other,Aluminum,,"Cape Coral, FL"
http://www.boattrader.com//listing/2016-yamaha-sport-boat-sx240-103020006/,"$45,999",2016,(888) 658-3321,Power,Jet Boats,Yamaha Sport Boat,240',Other,Fiberglass,,"Staten Island, NY"
http://www.boattrader.com//listing/2018-manitou-oasis-23-sr-shp-103204007/,"$50,854",2018,(888) 268-8993,Power,Pontoon Boats,Manitou,232',Other,Aluminum,,"Bernice, OK"
http://www.boattrader.com//listing/2018-tidewater-220-lxf-103200388/,Request a Price,2018,(352) 622-7757,Power,Center Consoles,Tidewater,220',Other,Fiberglass,Other,"Ocala, FL"
http://www.boattrader.com//listing/1954-barge-us-navy-103225786/,"$3,750,000",1954,(855) 490-8965,Power,Barge,Barge,210',Other,Steel,,"Larose, LA"
http://www.boattrader.com//listing/2010-benetti-203-superyacht-103215740/,"$29,950,000",2010,(888) 225-1630,Power,Mega Yachts,Benetti,203',Twin Inboard,Steel,Diesel,"West Palm Beach, FL"
http://www.boattrader.com//listing/2018-tidewater-198-c-c-103171765/,Request a Price,2018,(866) 375-2656,Power,Commercial Boats,Tidewater,198',Other,Fiberglass,,"Mobile, AL"
http://www.boattrader.com//listing/2011-benetti-102644087/,"$29,950,000",2011,(954) 688-4768,Power,Motor Yachts,Benetti,197',Twin Inboard,Steel,Diesel,"Casa De Campo, Dominican Republic"
http://www.boattrader.com//listing/1987-blount-luxury-dinner-yacht-gpc-101698530/,"$2,950,000",1987,(877) 430-8039,Power,Commercial Boats,Blount,197',Other,Steel,Diesel,"Troy, NY"
http://www.boattrader.com//listing/2016-yamaha-sport-boat-190-fsh-deluxe-103014528/,"$26,999",2016,(888) 658-3321,Power,"Jet Boats, Bowrider",Yamaha Sport Boat,190',Other,Fiberglass,Gas,"Staten Island, NY"
http://www.boattrader.com//listing/2016-yamaha-sport-boat-190-fsh-sport-103019832/,"$27,999",2016,(888) 658-3321,Power,Jet Boats,Yamaha Sport Boat,190',Other,Fiberglass,Gas,"Staten Island, NY"
http://www.boattrader.com//listing/2015-custom-canadian-s-e-superyacht-103187883/,"$4,999,000",2015,(206) 407-6411,Power,"Cruise Ship, Mega Yachts, Pilothouse",Custom,188',Twin Inboard,Steel,Diesel,"Ensenada, Mexico"
http://www.boattrader.com//listing/2016-lowe-182-fish-cruise-103190454/,Request a Price,2016,(888) 612-0157,Power,Pontoon Boats,Lowe,182',Single Outboard,Aluminum,Gas,"Oshkosh, WI"
